zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot,chinese_count,ch_tot_review_ct,ch_avg_review_ct,ch_avg_rating,mexican_count,mx_tot_review_ct,mx_avg_review_ct,mx_avg_rating,fastfood_count,ff_tot_review_ct,ff_avg_review_ct,ff_avg_rating
61606,2887,2833,2116,581,6,69,0,5,56,54,19,2,0,1,0,30,2,8600000US61606,18293.0,2353.0,2887,2135,583,6,70,0,35,3,36,12.0,3.5,9,119,13.22,3.61,16,90,5.62,2.91
41008,2837,2776,2681,61,6,6,0,1,21,61,33,0,0,0,0,27,1,8600000US41008,23175.0,2424.0,2837,2714,61,6,6,0,28,0,0,0.0,0.0,2,53,26.5,3.75,4,21,5.25,1.88
24112,14406,14195,9070,4969,14,54,0,5,83,211,119,31,0,1,0,52,8,8600000US24112,22047.0,929.0,14406,9189,5000,14,55,0,57,1,32,32.0,3.0,4,44,11.0,3.25,9,17,1.89,2.28
27262,9690,9295,7272,1736,41,140,2,5,99,395,178,8,1,2,0,178,28,8600000US27262,24607.0,1787.0,9690,7450,1744,42,142,2,183,8,148,18.5,3.12,9,157,17.44,3.83,14,96,6.86,2.79
01938,5290,5247,5177,14,2,25,0,2,27,43,28,2,0,0,0,10,3,8600000US01938,45228.0,3218.0,5290,5205,16,2,25,0,12,2,56,28.0,3.5,1,199,199.0,3.0,2,11,5.5,2.5
46825,10029,9840,9060,423,32,231,2,9,83,189,89,5,6,0,1,70,18,8600000US46825,28045.0,1304.0,10029,9149,428,38,231,3,79,0,0,0.0,0.0,3,123,41.0,4.0,7,204,29.14,3.14
85033,14911,8158,6227,1331,162,199,16,14,209,6753,2964,37,58,13,8,3359,314,8600000US85033,12037.0,476.0,14911,9191,1368,220,212,24,3373,8,427,53.38,3.5,33,970,29.39,3.3,30,395,13.17,2.35
95678,11771,10178,9371,121,90,353,18,12,213,1593,824,5,35,12,3,592,122,8600000US95678,32495.0,1491.0,11771,10195,126,125,365,21,604,4,703,175.75,2.75,35,4903,140.09,3.51,38,2965,78.03,2.78
92337,7819,3908,2223,1083,36,410,17,10,129,3911,1391,31,54,15,7,2244,169,8600000US92337,22546.0,1061.0,7819,3614,1114,90,425,24,2254,0,0,0.0,0.0,33,2006,60.79,3.56,9,260,28.89,2.61
02903,4299,3734,2762,433,31,297,0,41,170,565,204,25,5,4,3,256,68,8600000US02903,33478.0,3458.0,4299,2966,458,36,301,3,297,26,2914,112.08,3.67,20,2124,106.2,3.85,26,316,12.15,2.81
12304,8349,8058,6791,939,21,158,2,21,126,291,111,37,1,1,0,124,17,8600000US12304,26122.0,1934.0,8349,6902,976,22,159,2,145,10,138,13.8,3.3,4,201,50.25,3.25,11,226,20.55,2.82
19134,19888,14926,12318,1920,33,318,3,11,323,4962,1196,194,51,8,7,3237,269,8600000US19134,14556.0,793.0,19888,13514,2114,84,326,10,3248,24,239,9.96,3.31,8,603,75.38,2.75,23,212,9.22,2.22
49038,4037,3983,3876,46,24,12,0,1,24,54,29,1,1,1,0,18,4,8600000US49038,27674.0,2403.0,4037,3905,47,25,13,0,19,0,0,0.0,0.0,1,38,38.0,4.0,2,23,11.5,2.5
79549,5215,4064,3828,192,12,8,0,0,24,1151,609,3,15,0,0,492,32,8600000US79549,23721.0,1801.0,5215,4437,195,27,8,0,492,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
08110,5131,4207,2359,1490,33,226,2,8,89,924,311,41,5,3,0,520,44,8600000US08110,24171.0,1719.0,5131,2670,1531,38,229,2,528,7,52,7.43,3.0,2,131,65.5,3.5,11,90,8.18,2.5
54880,12907,12838,12392,47,240,54,1,1,103,69,38,1,3,0,0,18,9,8600000US54880,26378.0,969.0,12907,12430,48,243,54,1,19,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
