zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
04102,7830,7753,7359,122,27,157,0,7,81,77,43,5,1,3,0,20,5,8600000US04102,32202.0,2037.0,7830,7402,127,28,160,0,27
60108,8296,7992,7155,196,8,565,0,3,65,304,199,0,1,1,0,83,20,8600000US60108,39449.0,1954.0,8296,7354,196,9,566,0,86
10547,2828,2609,2405,100,2,69,0,6,27,219,121,1,2,0,0,80,15,8600000US10547,35977.0,2764.0,2828,2526,101,4,69,0,86
24504,3543,3520,1342,2128,9,7,1,4,29,23,7,4,0,0,0,7,5,8600000US24504,23340.0,2574.0,3543,1349,2132,9,7,1,11
18704,14284,14215,14003,78,14,65,1,5,49,69,47,3,0,0,0,15,4,8600000US18704,28259.0,1413.0,14284,14050,81,14,65,1,20
11581,7059,6707,6046,199,5,377,2,15,63,352,246,6,0,2,0,66,32,8600000US11581,43109.0,2551.0,7059,6292,205,5,379,2,81
73162,10126,9941,8609,599,191,346,2,6,188,185,106,3,3,0,2,56,15,8600000US73162,36099.0,1719.0,10126,8715,602,194,346,4,62
99218,4714,4643,4428,40,43,67,9,1,55,71,44,1,3,2,0,16,5,8600000US99218,24825.0,1897.0,4714,4472,41,46,69,9,17
20636,2932,2908,2673,198,6,17,1,1,12,24,14,1,0,0,0,8,1,8600000US20636,41815.0,3831.0,2932,2687,199,6,17,1,9
32952,8373,8133,7871,69,23,100,3,9,58,240,192,2,1,0,0,29,16,8600000US32952,40826.0,3846.0,8373,8063,71,24,100,3,38
01462,3536,3512,3438,21,7,25,1,1,19,24,16,2,0,0,0,5,1,8600000US01462,41737.0,3351.0,3536,3454,23,7,25,1,6
35967,6572,6214,5860,215,40,23,3,1,72,358,77,3,6,0,5,240,27,8600000US35967,19606.0,1580.0,6572,5937,218,46,23,8,241
96768,5328,4958,2417,23,11,1255,325,8,919,370,115,0,5,35,21,58,136,8600000US96768,31389.0,2053.0,5328,2532,23,16,1290,346,66
28754,2817,2797,2738,30,4,6,0,0,19,20,12,0,1,0,0,7,0,8600000US28754,23134.0,2591.0,2817,2750,30,5,6,0,7
60652,12865,11320,5893,5099,5,112,0,9,202,1545,599,22,21,2,3,833,65,8600000US60652,24302.0,1163.0,12865,6492,5121,26,114,3,842
78237,10191,659,233,384,19,8,2,2,11,9532,6358,18,112,8,4,2628,404,8600000US78237,13041.0,843.0,10191,6591,402,131,16,6,2630
29455,5353,5180,3587,1513,18,19,3,4,36,173,84,6,0,0,0,78,5,8600000US29455,46292.0,3081.0,5353,3671,1519,18,19,3,82
10579,2732,2622,2545,31,6,17,0,4,19,110,83,2,1,0,0,19,5,8600000US10579,46908.0,4217.0,2732,2628,33,7,17,0,23
60402,22225,16956,15972,193,30,420,1,26,314,5269,2434,30,43,10,2,2511,239,8600000US60402,23692.0,1053.0,22225,18406,223,73,430,3,2537
68508,4636,4358,3821,222,41,174,3,8,89,278,93,4,8,0,0,157,16,8600000US68508,11492.0,785.0,4636,3914,226,49,174,3,165
01879,3728,3700,3584,17,9,63,1,0,26,28,23,0,1,0,0,4,0,8600000US01879,43685.0,4018.0,3728,3607,17,10,63,1,4
48116,9382,9295,9118,19,39,56,1,3,59,87,51,1,1,0,1,21,12,8600000US48116,45152.0,2465.0,9382,9169,20,40,56,2,24
03031,3612,3591,3518,16,3,38,1,2,13,21,19,0,1,0,0,0,1,8600000US03031,54818.0,4062.0,3612,3537,16,4,38,1,2
90077,4182,4101,3740,59,2,201,0,6,93,81,64,1,0,0,1,14,1,8600000US90077,110727.0,15431.0,4182,3804,60,2,201,1,20
23185,14912,14729,12429,1890,29,241,5,14,121,183,116,8,1,0,0,49,9,8600000US23185,40583.0,2327.0,14912,12545,1898,30,241,5,63
50138,4597,4571,4482,45,10,13,1,1,19,26,15,0,1,0,0,8,2,8600000US50138,26265.0,1418.0,4597,4497,45,11,13,1,9
75211,18806,6922,4549,1967,99,158,1,11,137,11884,5082,41,66,9,5,6101,580,8600000US75211,14994.0,645.0,18806,9631,2008,165,167,6,6112
17557,4588,4471,4341,28,2,74,0,1,25,117,56,2,0,2,0,46,11,8600000US17557,25221.0,2258.0,4588,4397,30,2,76,0,47
