,zip_code,total,non_hispanic_tot,Not Hispanic or Latino householder: - Householder who is White alone,Not Hispanic or Latino householder: - Householder who is Black or African American alone,Not Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Not Hispanic or Latino householder: - Householder who is Asian alone,Not Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino householder: - Householder who is Some other race alone,Not Hispanic or Latino householder: - Householder who is Two or more races,hispanic_tot,Hispanic or Latino householder: - Householder who is White alone,Hispanic or Latino householder: - Householder who is Black or African American alone,Hispanic or Latino householder: - Householder who is American Indian and Alaska Native alone,Hispanic or Latino householder: - Householder who is Asian alone,Hispanic or Latino householder: - Householder who is Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino householder: - Householder who is Some other race alone,Hispanic or Latino householder: - Householder who is Two or more races,Id_zip,per_capita_income_2017_estimate,per_capita_income_2017_margin,white_tot,black_tot,indian_tot,asian_tot,native_tot,other_tot,mixed_tot
46,45440,8211,8140,7702,204,7,158,4,3,62,71,47,0,1,0,0,15,8,8600000US45440,36535.0,2091.0,8211,7749,204,8,158,4,18
47,10543,7279,6428,5831,281,2,238,2,5,69,851,552,16,6,2,1,214,60,8600000US10543,58834.0,5189.0,7279,6383,297,8,240,3,219
48,33063,22715,20316,18016,1419,22,415,7,67,370,2399,1832,45,7,3,0,338,174,8600000US33063,25706.0,1339.0,22715,19848,1464,29,418,7,405
49,7208,11817,7471,4462,2263,17,355,2,53,319,4346,2762,169,19,7,4,1107,278,8600000US07208,22618.0,1260.0,11817,7224,2432,36,362,6,1160
50,22306,10821,9526,5491,3053,30,706,11,18,217,1295,541,41,16,4,1,584,108,8600000US22306,33671.0,2045.0,10821,6032,3094,46,710,12,602
51,40215,10415,10144,7501,2423,31,59,8,11,111,271,156,12,0,0,1,92,10,8600000US40215,15865.0,937.0,10415,7657,2435,31,59,9,103
52,60515,11155,10936,10494,131,8,238,0,11,54,219,155,1,4,0,0,46,13,8600000US60515,47818.0,2076.0,11155,10649,132,12,238,0,57
53,6238,4258,4218,4133,19,9,15,0,5,37,40,28,1,1,1,0,6,3,8600000US06238,41100.0,3151.0,4258,4161,20,10,16,0,11
54,53209,19264,18952,7516,11022,52,185,2,7,168,312,113,65,2,2,1,105,24,8600000US53209,20313.0,766.0,19264,7629,11087,54,187,3,112
55,10029,27465,12873,2688,8557,63,945,2,98,520,14592,5471,1403,162,32,16,6494,1014,8600000US10029,27966.0,1641.0,27465,8159,9960,225,977,18,6592
56,80906,19701,17850,15886,1054,118,423,46,23,300,1851,811,35,48,8,4,824,121,8600000US80906,41504.0,1693.0,19701,16697,1089,166,431,50,847
57,65804,16518,16345,15741,213,73,150,9,5,154,173,92,3,1,0,0,58,19,8600000US65804,33019.0,1866.0,16518,15833,216,74,150,9,63
58,90240,7860,4537,3472,157,17,725,10,14,142,3323,1638,9,36,6,4,1418,212,8600000US90240,30648.0,2166.0,7860,5110,166,53,731,14,1432
59,29572,4105,4056,3925,61,7,34,4,2,23,49,31,0,1,0,0,12,5,8600000US29572,47217.0,6207.0,4105,3956,61,8,34,4,14
60,78552,9687,4231,4110,39,15,26,1,2,38,5456,4219,10,27,1,2,1042,155,8600000US78552,21469.0,1674.0,9687,8329,49,42,27,3,1044
